NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Epoch,M,Peri,Node,i,e,n,a,Num_opps,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
1.0,0.0,0.0,28.6,0.15,26.0,0.52,6,2459000.5,278.34225,6.39063,171.01007,3.11495,0.1944323,0.71455996,1.2391111,1,2459114.77698,1.3793211,0.9981879,1.4800343,0.5961339,3.6362891,Apollo
0.0,0.0,0.0,12.9,0.15,356.0,0.41,0,2459200.5,250.91077,37.34465,91.39647,2.27892,0.0334294,0.08629152,5.0717436,16,2460464.69439,11.4218364,4.9021983,5.2412889,2.5330379,1.0959524,Jupiter Trojan
0.0,0.0,0.0,16.9,0.15,136.0,0.41,0,2459200.5,314.2523,16.47325,173.79121,22.6423,0.1493847,0.28485993,2.287609,11,2459361.09719,3.4599729,1.9458752,2.6293428,1.1182796,1.4065085,Phocaea
0.0,0.0,0.0,18.0,0.15,83.0,0.45,1,2459200.5,256.49376,192.39993,14.57588,19.45655,0.0727413,0.34855653,1.9996496,7,2459497.45685,2.8276838,1.8541925,2.1451067,0.9945344,1.5471406,Hungaria
0.0,0.0,0.0,16.55,0.15,171.0,0.65,0,2459200.5,105.02197,156.50497,42.97672,25.32551,0.1400479,0.28366183,2.294046,8,2458830.26344,3.4745869,1.9727697,2.6153223,1.124526,1.4041078,Phocaea
0.0,0.0,0.0,16.8,0.15,208.0,0.4,0,2459000.5,165.43928,342.866,75.37752,6.41546,0.1662775,0.2408178,2.5586467,10,2458313.51058,4.0927525,2.1332013,2.9840921,1.2439524,1.3233366,MBA
1.0,0.0,0.0,28.8,0.15,27.0,0.49,5,2459200.5,32.62406,48.96292,358.52071,1.14966,0.2044316,0.75402769,1.1954861,1,2459157.2336,1.307124,0.951091,1.4398812,0.572762,4.2560136,Apollo
0.0,0.0,0.0,18.9,0.15,28.0,0.12,4,2459200.5,113.15154,319.50316,288.34857,17.39912,0.0631105,0.3598974,1.957418,1,2458886.10056,2.7385796,1.8338844,2.0809516,0.9748109,1.5751822,Hungaria
0.0,0.0,0.0,16.34,0.15,446.0,0.51,0,2459200.5,36.63893,43.36244,149.29083,22.52102,0.1236933,0.2863273,2.2797867,10,2459072.53829,3.4422414,1.9977924,2.561781,1.1224529,1.4094599,Phocaea
0.0,0.0,0.0,16.55,0.15,617.0,0.54,0,2459200.5,320.96872,59.89598,323.55703,2.60454,0.1076769,0.29199931,2.2501674,15,2459334.16909,3.3753767,2.0078763,2.4924585,1.1120391,1.4209859,MBA
0.0,0.0,0.0,16.9,0.15,85.0,0.21,0,2459000.5,331.87079,130.5325,164.96388,17.40122,0.155493,0.21161304,2.7889524,5,2459133.42761,4.6575943,2.3552898,3.222615,1.3607605,1.2734038,MBA
0.0,0.0,0.0,17.11,0.15,356.0,0.58,0,2459200.5,334.87267,165.29069,215.70172,20.31147,0.0912579,0.35787635,1.9647805,12,2459270.71233,2.7540452,1.7854788,2.1440822,0.9742089,1.5701107,Hungaria
0.0,0.0,0.0,18.6,0.15,76.0,0.2,0,2459000.5,49.19746,24.22716,98.52894,23.93799,0.0722778,0.37367513,1.9090029,5,2458868.84162,2.6376058,1.7710244,2.0469814,0.9495151,1.6106476,Hungaria
0.0,0.0,0.0,16.01,0.15,419.0,0.52,0,2459200.5,83.18257,327.37905,292.3057,10.80167,0.4303953,0.22878661,2.6475794,10,2458836.91852,4.3079781,1.5080737,3.7870851,1.0785707,1.3022995,Object with perihelion distance < 1.665 AU
1.0,0.0,0.0,23.8,0.15,54.0,0.58,6,2459000.5,187.66794,295.02647,256.31548,20.96728,0.2745345,0.70487169,1.2504395,1,2459244.98717,1.3982796,0.9071507,1.5937283,0.5780974,3.5107989,Apollo
0.0,0.0,0.0,16.66,0.15,261.0,0.45,0,2459200.5,209.59034,174.6382,234.43824,24.49794,0.1926178,0.27193737,2.3595189,10,2459753.60419,3.6243922,1.9050336,2.8140042,1.1359885,1.3810406,Phocaea
1.0,0.0,0.0,26.8,0.15,38.0,0.56,7,2459000.5,18.81166,100.21999,187.86266,3.22892,0.6760413,0.30687529,2.176848,1,2458939.19931,3.2117531,0.7052088,3.6484872,0.5909796,1.45213,Apollo
0.0,0.0,0.0,18.4,0.15,162.0,0.35,1,2459200.5,102.01536,196.62128,28.48191,7.77589,0.1224685,0.37975945,1.888558,8,2458931.86844,2.5953474,1.6572691,2.1198469,0.9301162,1.6268227,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,17.85,0.15,160.0,0.57,0,2459200.5,338.31395,310.93059,17.57943,6.93785,0.2627651,0.30006886,2.2096429,6,2459272.77026,3.2846049,1.6290259,2.7902599,1.0285385,1.4377124,Object with perihelion distance < 1.665 AU
0.0,0.0,0.0,19.3,0.15,52.0,0.22,1,2459000.5,206.689,52.55149,47.8468,22.52071,0.0777945,0.36840608,1.9271619,3,2459416.64686,2.6753296,1.7772393,2.0770845,0.9577494,1.5968975,Hungaria
0.0,0.0,0.0,13.5,0.15,179.0,0.29,0,2459200.5,210.13891,71.62567,86.74427,11.41788,0.1239517,0.08255778,5.2235295,9,2461015.7285,11.9383987,4.5760641,5.8709949,2.5716375,1.0914211,Jupiter Trojan
1.0,0.0,0.0,22.4,0.15,16.0,0.21,7,2459000.5,310.81907,241.85119,151.17437,22.79351,0.7434517,0.24107247,2.5568444,1,2459204.50896,4.0884289,0.6559541,4.4577347,0.5718121,1.3237892,Apollo
0.0,0.0,0.0,16.5,0.15,80.0,0.27,0,2459000.5,192.40169,293.96698,168.52678,10.05303,0.1730916,0.17367237,3.1816243,9,2459965.52614,5.6750977,2.6309119,3.7323367,1.5431503,1.2138993,MBA
0.0,0.0,0.0,14.55,0.15,1596.0,0.47,0,2459200.5,30.81461,164.40597,110.75907,23.86514,0.1819851,0.27491711,2.3424385,19,2459088.41308,3.5851084,1.9161496,2.7687274,1.1324301,1.386831,Phocaea
0.0,0.0,0.0,14.3,0.15,56.0,0.23,0,2459000.5,323.28484,60.10329,219.11855,30.01808,0.0460873,0.08346829,5.1854731,6,2459440.37003,11.8081695,4.9464886,5.4244576,2.5872295,1.0925226,Jupiter Trojan
0.0,0.0,0.0,18.3,0.15,43.0,0.28,0,2459200.5,336.23214,315.3026,171.89614,22.3141,0.0701204,0.36381383,1.943345,6,2459265.82974,2.7090989,1.8070769,2.0796131,0.9668949,1.5851036,Hungaria
0.0,0.0,0.0,18.6,0.15,26.0,0.38,4,2459000.5,356.23065,163.58148,270.51635,18.88016,0.0768268,0.37582651,1.9017107,1,2459010.52949,2.6225071,1.7556084,2.047813,0.9452431,1.6163301,Hungaria
0.0,0.0,0.0,17.0,0.15,43.0,0.3,0,2459000.5,127.03588,236.97102,155.40005,10.91349,0.0966069,0.17993384,3.1073785,5,2458294.48545,5.4776116,2.8071843,3.4075727,1.5391888,1.2233334,MBA
0.0,0.0,0.0,18.2,0.15,67.0,0.45,1,2459000.5,49.59226,227.35638,247.46516,19.02931,0.1078757,0.36304772,1.946078,5,2458863.90015,2.7148158,1.7361435,2.1560125,0.9617156,1.583153,Hungaria
1.0,0.0,0.0,24.4,0.15,26.0,0.44,7,2459000.5,98.4307,166.8569,177.36382,14.21608,0.4810523,0.30065318,2.206779,1,2458673.11039,3.2782213,1.1452029,3.2683551,0.8480527,1.4389389,Amor
